,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
222,17,178,212,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
223,17,178,212,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
224,17,178,212,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,3
225,17,178,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,5,4
226,17,178,212,308,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
227,17,178,212,308,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,3
228,17,178,212,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,5,4
229,16,275,316,316,316,316,316,316,316,316,316,316,8.0,9.5,4,2,4,1
230,16,275,316,316,316,316,316,316,316,316,316,316,11.0,12.0,1,5,3,1
231,16,275,316,316,316,316,316,316,316,316,316,316,6.0,8.5,5,4,4,1
232,16,275,316,316,316,316,316,316,316,316,316,316,11.0,9.5,1,5,3,1
233,16,275,316,316,316,316,316,316,316,316,316,316,9.0,8.5,3,5,4,1
234,17,75,306,294,316,316,316,316,316,316,316,316,17.0,14.0,1,3,4,3
235,17,75,110,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,5,5
236,17,211,67,259,273,316,316,316,316,316,316,316,11.0,12.5,1,4,3,1
237,17,75,306,178,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
238,4,315,58,265,166,316,316,316,316,316,316,316,19.0,20.0,5,1,4,2
239,17,67,316,316,316,316,316,316,316,316,316,316,10.5,13.0,1,5,3,1
240,17,304,316,316,316,316,316,316,316,316,316,316,10.5,12.5,1,5,2,1
241,17,67,316,316,316,316,316,316,316,316,316,316,12.0,13.5,1,4,5,1
242,17,90,316,316,316,316,316,316,316,316,316,316,16.0,13.5,1,4,2,2
243,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,3,2
244,17,67,316,316,316,316,316,316,316,316,316,316,11.0,12.5,1,5,3,1
245,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,5,3,1
246,17,178,212,308,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
247,0,75,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,5,5
248,0,75,308,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,5,5
249,0,308,178,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
250,0,67,316,316,316,316,316,316,316,316,316,316,9.0,12.5,1,3,3,1
251,0,75,308,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,4,3
252,0,75,308,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,5,4
253,0,67,316,316,316,316,316,316,316,316,316,316,14.0,13.5,1,4,4,1
254,2,75,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,3,3
255,2,308,316,316,316,316,316,316,316,316,316,316,17.0,14.2,1,4,3,4
256,2,67,316,316,316,316,316,316,316,316,316,316,9.0,13.9,1,4,3,1
257,2,178,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,4,3
258,1,125,67,211,316,316,316,316,316,316,316,316,9.0,13.0,1,3,2,1
259,1,79,75,308,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
260,1,308,187,178,212,316,316,316,316,316,316,316,17.0,13.5,1,4,4,3
261,1,67,316,316,316,316,316,316,316,316,316,316,10.0,13.5,1,3,3,1
262,1,79,187,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
263,1,178,316,316,316,316,316,316,316,316,316,316,18.0,14.5,1,3,4,3
264,6,67,316,316,316,316,316,316,316,316,316,316,9.0,13.0,1,3,3,1
265,6,308,316,316,316,316,316,316,316,316,316,316,17.5,13.5,1,3,3,3
266,6,211,316,316,316,316,316,316,316,316,316,316,9.0,13.5,1,4,2,1
267,6,75,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,2
268,6,61,316,316,316,316,316,316,316,316,316,316,11.0,13.5,1,3,3,1
269,6,308,212,187,316,316,316,316,316,316,316,316,17.0,14.5,1,3,5,5
270,6,298,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
271,6,178,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
272,6,308,178,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
273,6,67,316,316,316,316,316,316,316,316,316,316,9.0,13.0,1,4,3,1
274,6,298,316,316,316,316,316,316,316,316,316,316,17.0,13.7,1,3,4,3
275,6,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,3,3,1
276,6,178,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,3,3
277,6,308,178,316,316,316,316,316,316,316,316,316,17.0,13.2,1,4,4,4
278,6,90,316,316,316,316,316,316,316,316,316,316,17.0,14.2,1,4,3,3
279,6,211,316,316,316,316,316,316,316,316,316,316,11.0,13.8,1,4,3,1
280,17,178,308,212,316,316,316,316,316,316,316,316,17.0,12.5,1,4,4,4
281,17,1,316,316,316,316,316,316,316,316,316,316,15.0,13.0,1,4,2,2
282,17,294,75,321,316,316,316,316,316,316,316,316,17.0,14.0,1,4,4,4
283,17,306,75,321,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,4
284,17,1,316,316,316,316,316,316,316,316,316,316,17.0,12.0,1,4,2,2
285,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,2,1
286,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,3,1
287,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,3,2,1
288,17,211,120,316,316,316,316,316,316,316,316,316,11.0,11.7,1,3,3,1
289,17,178,308,316,316,316,316,316,316,316,316,316,18.0,12.0,1,3,3,3
290,17,178,308,212,316,316,316,316,316,316,316,316,18.0,12.5,1,3,4,3
291,12,194,316,316,316,316,316,316,316,316,316,316,18.0,14.0,1,3,4,3
292,4,315,219,316,316,316,316,316,316,316,316,316,19.0,14.0,1,3,4,4
293,4,30,166,321,316,316,316,316,316,316,316,316,18.0,13.0,1,3,4,4
294,4,316,316,316,316,316,316,316,316,316,316,316,18.0,14.0,1,3,4,3
295,4,2,137,321,316,316,316,316,316,316,316,316,10.0,11.5,2,3,3,1
296,6,236,308,316,316,316,316,316,316,316,316,316,18.0,13.5,1,3,5,4
297,1,308,75,79,316,316,316,316,316,316,316,316,17.0,13.0,1,2,3,3
298,1,308,71,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
299,1,308,321,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,4,4
300,1,178,321,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
301,1,308,316,316,316,316,316,316,316,316,316,316,17.0,14.5,1,4,5,4
302,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,3,3,1
303,17,90,316,316,316,316,316,316,316,316,316,316,16.0,12.5,1,3,3,2
304,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,2
305,17,90,316,316,316,316,316,316,316,316,316,316,16.0,13.0,1,3,3,3
306,17,90,316,316,316,316,316,316,316,316,316,316,16.0,13.0,1,3,3,2
307,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
308,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,3
309,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
310,17,90,316,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,4,3
311,17,67,316,316,316,316,316,316,316,316,316,316,11.0,13.0,1,4,3,1
312,11,149,316,316,316,316,316,316,316,316,316,316,12.0,14.0,1,3,3,1
313,1,178,308,316,316,316,316,316,316,316,316,316,17.0,14.3,1,3,4,4
314,1,211,195,316,316,316,316,316,316,316,316,316,11.0,13.8,1,3,2,1
315,11,88,181,316,316,316,316,316,316,316,316,316,17.0,12.5,1,4,3,3
316,11,88,181,316,316,316,316,316,316,316,316,316,17.0,12.0,1,4,3,3
317,11,9,316,316,316,316,316,316,316,316,316,316,11.0,12.0,1,3,3,1
318,11,308,178,316,316,316,316,316,316,316,316,316,17.5,13.5,1,3,4,4
319,1,308,316,316,316,316,316,316,316,316,316,316,17.0,15.2,1,3,5,5
320,17,328,273,316,316,316,316,316,316,316,316,316,9.0,12.5,1,4,2,1
321,17,75,306,316,316,316,316,316,316,316,316,316,17.0,14.5,1,3,3,3
